Rank,Word,Occurences,Percentage,Cumulative%
120,参加,1374,0.07298%,32.261%
121,社,1374,0.07298%,32.334%
122,全て,1369,0.07272%,32.406%
123,ファイル,1350,0.07171%,32.478%
124,方式,1326,0.07043%,32.548%
125,ニュース,1324,0.07033%,32.619%
126,分,1324,0.07033%,32.689%
127,計画,1306,0.06937%,32.758%
128,終了,1283,0.06815%,32.827%
129,設定,1277,0.06783%,32.894%
130,上,1275,0.06773%,32.962%
131,提供,1269,0.06741%,33.030%
132,映画,1258,0.06682%,33.096%
133,中心,1255,0.06666%,33.163%
134,それぞれ,1253,0.06656%,33.230%
135,出来る,1238,0.06576%,33.295%
136,始まる,1237,0.06571%,33.361%
137,クラブ,1235,0.06560%,33.427%
138,言語,1229,0.06528%,33.492%
139,技術,1228,0.06523%,33.557%
140,記述,1197,0.06358%,33.621%
141,会社,1197,0.06358%,33.684%
142,表示,1184,0.06289%,33.747%
143,メンバー,1179,0.06263%,33.810%
144,設計,1173,0.06231%,33.872%
145,構成,1171,0.06220%,33.934%
146,一つ,1170,0.06215%,33.997%
147,続く,1169,0.06209%,34.059%
148,最初,1168,0.06204%,34.121%
149,モデル,1163,0.06178%,34.182%
150,号,1160,0.06162%,34.244%
151,名称,1159,0.06156%,34.306%
152,制作,1156,0.06140%,34.367%
153,枚目,1151,0.06114%,34.428%
154,タイトル,1141,0.06061%,34.489%
155,サービス,1139,0.06050%,34.549%
156,時代,1138,0.06045%,34.610%
157,カード,1129,0.05997%,34.670%
158,文字,1128,0.05992%,34.730%
159,生産,1119,0.05944%,34.789%
160,公開,1113,0.05912%,34.848%
161,関係,1106,0.05875%,34.907%
162,製品,1104,0.05864%,34.966%
163,ソフトウェア,1102,0.05854%,35.024%
164,列車,1100,0.05843%,35.083%
165,製造,1095,0.05816%,35.141%
166,意味,1094,0.05811%,35.199%
167,グループ,1086,0.05769%,35.257%
168,機体,1074,0.05705%,35.314%
169,得る,1073,0.05700%,35.371%
170,発生,1073,0.05700%,35.428%
171,大きい,1070,0.05684%,35.484%
172,追加,1068,0.05673%,35.541%
173,バージョン,1065,0.05657%,35.598%
174,内容,1063,0.05646%,35.654%
175,予定,1063,0.05646%,35.711%
176,日目,1063,0.05646%,35.767%
177,名,1052,0.05588%,35.823%
178,コード,1052,0.05588%,35.879%
179,獲得,1051,0.05583%,35.935%
180,作る,1048,0.05567%,35.990%
181,為,1037,0.05508%,36.045%
182,考える,1037,0.05508%,36.100%
183,通常,1036,0.05503%,36.156%
184,与える,1030,0.05471%,36.210%
185,入る,1018,0.05407%,36.264%
186,モード,1012,0.05376%,36.318%
187,プログラム,1012,0.05376%,36.372%
188,選手,1001,0.05317%,36.425%
189,導入,998,0.05301%,36.478%
190,担当,994,0.05280%,36.531%
191,無い,992,0.05269%,36.584%
192,コンピュータ,992,0.05269%,36.636%
193,最後,991,0.05264%,36.689%
194,選挙,991,0.05264%,36.741%
195,系,988,0.05248%,36.794%
196,知る,987,0.05243%,36.846%
197,名前,985,0.05232%,36.899%
198,装備,984,0.05227%,36.951%
199,装置,976,0.05184%,37.003%
200,閏年,975,0.05179%,37.055%
201,監督,973,0.05168%,37.106%
202,最大,971,0.05158%,37.158%
203,性能,970,0.05152%,37.209%
204,動作,970,0.05152%,37.261%
205,示す,968,0.05142%,37.312%
206,加える,962,0.05110%,37.363%
207,決定,962,0.05110%,37.415%
208,戦車,956,0.05078%,37.465%
209,ラジオ,952,0.05057%,37.516%
210,電話,952,0.05057%,37.566%
211,式,952,0.05057%,37.617%
212,状態,951,0.05052%,37.668%
213,対,950,0.05046%,37.718%
214,通信,946,0.05025%,37.768%
215,楽曲,946,0.05025%,37.818%
216,サッカー,945,0.05020%,37.869%
217,デザイン,938,0.04982%,37.919%
218,アニメ,931,0.04945%,37.968%
219,所属,926,0.04919%,38.017%
220,東京,926,0.04919%,38.066%
221,ほか,922,0.04897%,38.115%
222,特徴,922,0.04897%,38.164%
223,とき,922,0.04897%,38.213%
224,処理,918,0.04876%,38.262%
225,キャラクター,915,0.04860%,38.311%
226,オリジナル,914,0.04855%,38.359%
227,シーズン,914,0.04855%,38.408%
228,方法,912,0.04844%,38.456%
229,ソフト,906,0.04812%,38.504%
230,仕様,906,0.04812%,38.552%
231,デビュー,897,0.04765%,38.600%
232,能力,896,0.04759%,38.648%
233,準決勝,892,0.04738%,38.695%
234,連続,891,0.04733%,38.742%
235,物語,888,0.04717%,38.790%
236,サイト,886,0.04706%,38.837%
237,ベース,885,0.04701%,38.884%
238,一般,885,0.04701%,38.931%
239,イギリス,883,0.04690%,38.978%
240,形式,880,0.04674%,39.024%
241,公式,877,0.04658%,39.071%
242,グレゴリオ暦,872,0.04632%,39.117%
243,規格,868,0.04611%,39.163%
244,バンド,868,0.04611%,39.209%
245,運用,865,0.04595%,39.255%
246,等,859,0.04563%,39.301%
247,製作,857,0.04552%,39.346%
248,続ける,854,0.04536%,39.392%
249,ひる,854,0.04536%,39.437%
250,勝,847,0.04499%,39.482%
251,ライブ,847,0.04499%,39.527%
252,出演,844,0.04483%,39.572%
253,デジタル,844,0.04483%,39.617%
254,思う,836,0.04441%,39.661%
255,様々,836,0.04441%,39.706%
256,ミサイル,830,0.04409%,39.750%
257,構造,830,0.04409%,39.794%
258,用,829,0.04403%,39.838%
259,代表,828,0.04398%,39.882%
260,本作,826,0.04388%,39.926%
261,例,823,0.04372%,39.969%
262,新た,822,0.04366%,40.013%
263,世紀,821,0.04361%,40.057%
264,結成,821,0.04361%,40.100%
265,展開,821,0.04361%,40.144%
266,記事,820,0.04356%,40.188%
267,彼,817,0.04340%,40.231%
268,サポート,816,0.04334%,40.274%
269,映像,815,0.04329%,40.318%
270,出る,814,0.04324%,40.361%
271,実行,810,0.04303%,40.404%
272,管理,807,0.04287%,40.447%
273,スポーツ,804,0.04271%,40.489%
274,ドイツ,803,0.04265%,40.532%
275,人気,803,0.04265%,40.575%
276,鉄道,802,0.04260%,40.617%
277,実装,800,0.04249%,40.660%
278,影響,794,0.04218%,40.702%
279,種類,793,0.04212%,40.744%
280,ソロ,790,0.04196%,40.786%
281,漫画,784,0.04164%,40.828%
282,ファン,783,0.04159%,40.869%
283,速度,782,0.04154%,40.911%
284,中国,781,0.04149%,40.952%
285,ユーザー,777,0.04127%,40.994%
286,標準,776,0.04122%,41.035%
287,戦闘機,775,0.04117%,41.076%
288,完全,774,0.04111%,41.117%
289,国際,774,0.04111%,41.158%
290,除く,772,0.04101%,41.199%
291,アプリケーション,769,0.04085%,41.240%
292,初期,767,0.04074%,41.281%
293,うち,766,0.04069%,41.321%
294,以前,765,0.04064%,41.362%
295,旧暦,764,0.04058%,41.403%
296,自身,763,0.04053%,41.443%
297,携帯,760,0.04037%,41.484%
298,ビット,759,0.04032%,41.524%
299,少ない,755,0.04010%,41.564%
300,描く,754,0.04005%,41.604%
301,非常,754,0.04005%,41.644%
302,女性,753,0.04000%,41.684%
303,環境,752,0.03994%,41.724%
304,メーカー,750,0.03984%,41.764%
305,戦争,750,0.03984%,41.804%
306,ここ,747,0.03968%,41.843%
307,理由,747,0.03968%,41.883%
308,攻撃,742,0.03941%,41.923%
309,巨人,739,0.03925%,41.962%
310,海軍,738,0.03920%,42.001%
311,目的,735,0.03904%,42.040%
312,版,734,0.03899%,42.079%
313,接続,733,0.03894%,42.118%
314,メモリ,732,0.03888%,42.157%
315,国内,731,0.03883%,42.196%
316,基本的,731,0.03883%,42.234%
317,ユニット,730,0.03878%,42.273%
318,始める,730,0.03878%,42.312%
319,塁,725,0.03851%,42.351%
320,機種,723,0.03840%,42.389%
321,裏,723,0.03840%,42.427%
322,プロジェクト,720,0.03824%,42.466%
323,新しい,717,0.03809%,42.504%
324,作成,717,0.03809%,42.542%
325,同年,716,0.03803%,42.580%
326,候補,713,0.03787%,42.618%
327,航空,712,0.03782%,42.655%
328,評価,708,0.03761%,42.693%
329,勝利,708,0.03761%,42.731%
330,企業,707,0.03755%,42.768%
331,地域,706,0.03750%,42.806%
332,表記,706,0.03750%,42.843%
333,年間,705,0.03745%,42.881%
334,挙げる,701,0.03724%,42.918%
335,強い,700,0.03718%,42.955%
336,すべて,696,0.03697%,42.992%
337,本塁打,696,0.03697%,43.029%
338,空軍,695,0.03692%,43.066%
339,伴う,695,0.03692%,43.103%
340,車両,692,0.03676%,43.140%
341,プレイヤー,691,0.03670%,43.176%
342,端末,690,0.03665%,43.213%
343,初,689,0.03660%,43.250%
344,書く,688,0.03655%,43.286%
345,詳細,685,0.03639%,43.323%
346,レース,685,0.03639%,43.359%
347,イベント,685,0.03639%,43.395%
348,終わる,685,0.03639%,43.432%
349,以来,684,0.03633%,43.468%
350,部隊,681,0.03617%,43.504%
351,フランス,678,0.03601%,43.540%
352,事件,677,0.03596%,43.576%
353,定義,674,0.03580%,43.612%
354,複数,672,0.03570%,43.648%
355,アメリカ合衆国,670,0.03559%,43.683%
356,拡張,664,0.03527%,43.719%
357,正式,663,0.03522%,43.754%
358,出力,662,0.03516%,43.789%
359,プロ,661,0.03511%,43.824%
360,出場,661,0.03511%,43.859%
361,向上,661,0.03511%,43.894%
362,アジア,659,0.03500%,43.929%
363,表現,657,0.03490%,43.964%
364,比べる,656,0.03485%,43.999%
365,登録,653,0.03469%,44.034%
366,本,652,0.03463%,44.068%
367,自分,652,0.03463%,44.103%
368,敗,643,0.03415%,44.137%
369,クラス,643,0.03415%,44.171%
370,要素,641,0.03405%,44.205%
371,操作,641,0.03405%,44.239%
372,よる,640,0.03400%,44.273%
373,自然数,640,0.03400%,44.307%
374,通り,640,0.03400%,44.341%
375,注意,639,0.03394%,44.375%
376,ネット,636,0.03378%,44.409%
377,出す,635,0.03373%,44.443%
378,予選,634,0.03368%,44.476%
379,昭和,633,0.03362%,44.510%
380,整数,633,0.03362%,44.544%
381,設立,632,0.03357%,44.577%
382,いくつ,631,0.03352%,44.611%
383,ドラマ,630,0.03346%,44.644%
384,取る,629,0.03341%,44.678%
385,ところ,629,0.03341%,44.711%
386,関連,627,0.03331%,44.744%
387,戦闘,626,0.03325%,44.778%
388,専用,624,0.03315%,44.811%
389,実施,621,0.03299%,44.844%
390,機器,621,0.03299%,44.877%
391,上位,621,0.03299%,44.910%
392,大統領,621,0.03299%,44.943%
393,前作,620,0.03293%,44.976%
394,独自,618,0.03283%,45.008%
395,ビデオ,617,0.03277%,45.041%
396,実現,616,0.03272%,45.074%
397,硬貨,615,0.03267%,45.107%
398,ベスト,615,0.03267%,45.139%
399,コーナー,614,0.03261%,45.172%
400,サーバ,612,0.03251%,45.204%
401,女子,610,0.03240%,45.237%
402,一般的,607,0.03224%,45.269%
403,時点,604,0.03208%,45.301%
404,野球,603,0.03203%,45.333%
405,選ぶ,602,0.03198%,45.365%
406,扱う,602,0.03198%,45.397%
407,一,597,0.03171%,45.429%
408,制御,594,0.03155%,45.460%
409,成功,591,0.03139%,45.492%
410,株式会社,590,0.03134%,45.523%
411,声,590,0.03134%,45.554%
412,ネットワーク,588,0.03123%,45.586%
413,人間,587,0.03118%,45.617%
414,配備,586,0.03113%,45.648%
415,果たす,585,0.03107%,45.679%
416,決勝,584,0.03102%,45.710%
417,従来,583,0.03097%,45.741%
418,対象,581,0.03086%,45.772%
419,ひとつ,578,0.03070%,45.803%
420,番号,578,0.03070%,45.833%
421,多数,576,0.03060%,45.864%
422,レベル,573,0.03044%,45.894%
423,パソコン,572,0.03038%,45.925%
424,セット,571,0.03033%,45.955%
425,西武,571,0.03033%,45.985%
426,連載,568,0.03017%,46.016%
427,マシン,567,0.03012%,46.046%
428,進む,566,0.03006%,46.076%
429,電子,566,0.03006%,46.106%
430,国,566,0.03006%,46.136%
431,投票,565,0.03001%,46.166%
432,置く,564,0.02996%,46.196%
433,企画,564,0.02996%,46.226%
434,自体,560,0.02975%,46.256%
435,変わる,559,0.02969%,46.285%
436,発行,558,0.02964%,46.315%
437,機関,554,0.02943%,46.344%
438,レコード,553,0.02937%,46.374%
439,決める,550,0.02921%,46.403%
440,研究,549,0.02916%,46.432%
441,編集,549,0.02916%,46.461%
442,ワールド,548,0.02911%,46.490%
443,主人公,547,0.02906%,46.519%
444,球,546,0.02900%,46.548%
445,大学,544,0.02890%,46.577%
446,円,544,0.02890%,46.606%
447,運営,544,0.02890%,46.635%
448,人物,544,0.02890%,46.664%
449,全国,543,0.02884%,46.693%
450,トップ,540,0.02868%,46.722%
451,外,537,0.02852%,46.750%
452,メイン,534,0.02837%,46.778%
453,状況,533,0.02831%,46.807%
454,可能性,532,0.02826%,46.835%
455,基,532,0.02826%,46.863%
456,違う,531,0.02821%,46.891%
457,メジャー,527,0.02799%,46.919%
458,含める,525,0.02789%,46.947%
459,元,522,0.02773%,46.975%
460,活躍,522,0.02773%,47.003%
461,テーマ,521,0.02767%,47.030%
462,年末,521,0.02767%,47.058%
463,ポイント,520,0.02762%,47.086%
464,過去,520,0.02762%,47.113%
465,期間,518,0.02752%,47.141%
466,大阪,518,0.02752%,47.168%
467,目標,518,0.02752%,47.196%
468,スタート,518,0.02752%,47.223%
469,その他,517,0.02746%,47.251%
470,中継,516,0.02741%,47.278%
471,平成,516,0.02741%,47.306%
472,スーパー,513,0.02725%,47.333%
473,フリー,513,0.02725%,47.360%
474,まま,513,0.02725%,47.387%
475,枚,512,0.02720%,47.415%
476,掲載,512,0.02720%,47.442%
477,年度,512,0.02720%,47.469%
478,いずれ,511,0.02714%,47.496%
479,画面,510,0.02709%,47.523%
480,アクセス,510,0.02709%,47.550%
481,銃,510,0.02709%,47.577%
482,完成,509,0.02704%,47.605%
483,市場,509,0.02704%,47.632%
484,内,509,0.02704%,47.659%
485,指す,508,0.02698%,47.686%
486,あと,508,0.02698%,47.713%
487,コマンド,507,0.02693%,47.740%
488,部,507,0.02693%,47.766%
489,設置,506,0.02688%,47.793%
490,やすい,506,0.02688%,47.820%
491,歳,506,0.02688%,47.847%
492,求める,506,0.02688%,47.874%
493,再生,505,0.02682%,47.901%
494,雑誌,505,0.02682%,47.928%
495,配信,504,0.02677%,47.954%
496,韓国,503,0.02672%,47.981%
497,バス,502,0.02667%,48.008%
498,位置,502,0.02667%,48.034%
499,選択,501,0.02661%,48.061%
500,先発,500,0.02656%,48.088%
501,者,500,0.02656%,48.114%
502,せん,499,0.02651%,48.141%
503,対戦,499,0.02651%,48.167%
504,度,498,0.02645%,48.194%
505,とる,498,0.02645%,48.220%
506,入力,498,0.02645%,48.247%
507,六,497,0.02640%,48.273%
508,出身,497,0.02640%,48.299%
509,要求,496,0.02635%,48.326%
510,画像,496,0.02635%,48.352%
511,ヒット,496,0.02635%,48.378%
512,日本語,493,0.02619%,48.405%
513,変化,493,0.02619%,48.431%
514,審判,492,0.02613%,48.457%
515,政府,489,0.02597%,48.483%
516,高速,489,0.02597%,48.509%
517,タイプ,487,0.02587%,48.535%
518,由来,487,0.02587%,48.561%
519,廃止,486,0.02582%,48.586%
520,発展,484,0.02571%,48.612%
521,制限,484,0.02571%,48.638%
522,手,484,0.02571%,48.663%
523,低い,483,0.02566%,48.689%
524,大型,482,0.02560%,48.715%
525,至る,482,0.02560%,48.740%
526,最高,481,0.02555%,48.766%
527,ロシア,479,0.02544%,48.791%
528,迎える,479,0.02544%,48.817%
529,指定,478,0.02539%,48.842%
530,原作,477,0.02534%,48.868%
531,紹介,477,0.02534%,48.893%
532,進出,476,0.02528%,48.918%
533,く,476,0.02528%,48.943%
534,移動,476,0.02528%,48.969%
535,直接,476,0.02528%,48.994%
536,契約,475,0.02523%,49.019%
537,改正,475,0.02523%,49.044%
538,務める,474,0.02518%,49.070%
539,除去,474,0.02518%,49.095%
540,ちゃん,474,0.02518%,49.120%
541,後半,473,0.02512%,49.145%
542,限定,473,0.02512%,49.170%
543,年ぶり,472,0.02507%,49.195%
544,購入,472,0.02507%,49.220%
545,英語,472,0.02507%,49.245%
546,表す,472,0.02507%,49.271%
547,普及,471,0.02502%,49.296%
548,ドメイン,471,0.02502%,49.321%
549,変換,471,0.02502%,49.346%
550,核心,470,0.02497%,49.371%
551,全体,469,0.02491%,49.395%
552,命令,467,0.02481%,49.420%
553,メディア,466,0.02475%,49.445%
554,米,466,0.02475%,49.470%
555,オープン,466,0.02475%,49.495%
556,演奏,465,0.02470%,49.519%
557,インターネット,465,0.02470%,49.544%
558,それら,464,0.02465%,49.569%
559,作曲,464,0.02465%,49.593%
560,解説,463,0.02459%,49.618%
561,カメラ,462,0.02454%,49.642%
562,分野,462,0.02454%,49.667%
563,レーダー,462,0.02454%,49.691%
564,ヨーロッパ,461,0.02449%,49.716%
565,大幅,459,0.02438%,49.740%
566,級,459,0.02438%,49.765%
567,ディスク,458,0.02433%,49.789%
568,ソ連,456,0.02422%,49.813%
569,試験,456,0.02422%,49.837%
570,敵,456,0.02422%,49.862%
571,ライセンス,455,0.02417%,49.886%
572,ねる,455,0.02417%,49.910%
573,時期,455,0.02417%,49.934%
574,個,454,0.02412%,49.958%
575,オブジェクト,454,0.02412%,49.982%
576,改良,453,0.02406%,50.006%
577,備える,452,0.02401%,50.030%
578,つく,452,0.02401%,50.054%
579,合わせる,451,0.02396%,50.078%
580,文書,451,0.02396%,50.102%
581,演出,451,0.02396%,50.126%
582,今,450,0.02390%,50.150%
583,前年,450,0.02390%,50.174%
584,別,449,0.02385%,50.198%
585,つける,448,0.02380%,50.222%
586,路線,448,0.02380%,50.246%
587,目,448,0.02380%,50.269%
588,明かす,447,0.02374%,50.293%
589,頃,445,0.02364%,50.317%
590,共同,444,0.02358%,50.340%
591,アップ,442,0.02348%,50.364%
592,配置,442,0.02348%,50.387%
593,ワールドカップ,442,0.02348%,50.411%
594,言える,442,0.02348%,50.434%
595,良い,442,0.02348%,50.458%
596,一方,441,0.02343%,50.481%
597,特定,440,0.02337%,50.505%
598,起こる,438,0.02327%,50.528%
599,ラン,437,0.02321%,50.551%
600,飛行,437,0.02321%,50.574%
601,唯一,436,0.02316%,50.597%
602,話,435,0.02311%,50.621%
603,ノート,434,0.02305%,50.644%
604,かける,434,0.02305%,50.667%
605,特別,434,0.02305%,50.690%
606,死,433,0.02300%,50.713%
607,生成,432,0.02295%,50.736%
608,方,431,0.02289%,50.759%
609,リーチ,431,0.02289%,50.781%
610,広い,430,0.02284%,50.804%
611,物,430,0.02284%,50.827%
612,統合,430,0.02284%,50.850%
613,ストーリー,430,0.02284%,50.873%
614,キー,429,0.02279%,50.896%
615,長い,429,0.02279%,50.918%
616,ブランド,428,0.02273%,50.941%
617,拡大,428,0.02273%,50.964%
618,いえる,428,0.02273%,50.987%
619,団体,427,0.02268%,51.009%
620,送る,427,0.02268%,51.032%
621,行く,426,0.02263%,51.055%
622,比較,426,0.02263%,51.077%
623,基づく,426,0.02263%,51.100%
624,センター,425,0.02258%,51.122%
625,西,425,0.02258%,51.145%
626,テンプレート,424,0.02252%,51.167%
627,進める,424,0.02252%,51.190%
628,信号,424,0.02252%,51.213%
629,球場,423,0.02247%,51.235%
630,なす,423,0.02247%,51.257%
631,価格,420,0.02231%,51.280%
632,放つ,420,0.02231%,51.302%
633,組織,420,0.02231%,51.324%
634,系列,419,0.02226%,51.347%
635,自動,418,0.02220%,51.369%
636,ソース,418,0.02220%,51.391%
637,確認,416,0.02210%,51.413%
638,彼ら,415,0.02204%,51.435%
639,弾,415,0.02204%,51.457%
640,もつ,415,0.02204%,51.479%
641,台,415,0.02204%,51.501%
642,・,415,0.02204%,51.523%
643,解散,413,0.02194%,51.545%
644,独立,413,0.02194%,51.567%
645,移行,413,0.02194%,51.589%
646,舞台,413,0.02194%,51.611%
647,用意,412,0.02188%,51.633%
648,見せる,412,0.02188%,51.655%
649,スタジオ,411,0.02183%,51.677%
650,姿,411,0.02183%,51.699%
651,海外,411,0.02183%,51.720%
652,有名,411,0.02183%,51.742%
653,サイズ,410,0.02178%,51.764%
654,テニス,410,0.02178%,51.786%
655,基本,409,0.02173%,51.808%
656,確定,408,0.02167%,51.829%
657,何,408,0.02167%,51.851%
658,フォーマット,408,0.02167%,51.873%
659,ろ,408,0.02167%,51.894%
660,アーティスト,407,0.02162%,51.916%
661,停止,407,0.02162%,51.937%
662,ロック,407,0.02162%,51.959%
663,毎週,406,0.02157%,51.981%
664,上記,406,0.02157%,52.002%
665,達成,406,0.02157%,52.024%
666,音声,406,0.02157%,52.045%
667,装甲,406,0.02157%,52.067%
668,機構,405,0.02151%,52.088%
669,二,405,0.02151%,52.110%
670,三,404,0.02146%,52.131%
671,フジテレビ,403,0.02141%,52.153%
672,入れる,400,0.02125%,52.174%
673,最終,400,0.02125%,52.195%
674,同社,400,0.02125%,52.217%
675,似る,399,0.02119%,52.238%
676,後継,399,0.02119%,52.259%
677,増加,398,0.02114%,52.280%
678,編成,398,0.02114%,52.301%
679,内部,396,0.02103%,52.322%
680,トラック,396,0.02103%,52.343%
681,近い,395,0.02098%,52.364%
682,地区,395,0.02098%,52.385%
683,一人,395,0.02098%,52.406%
684,投入,395,0.02098%,52.427%
685,レーベル,395,0.02098%,52.448%
686,歌手,394,0.02093%,52.469%
687,付ける,394,0.02093%,52.490%
688,車体,393,0.02088%,52.511%
689,イタリア,391,0.02077%,52.532%
690,連邦,391,0.02077%,52.552%
691,イメージ,390,0.02072%,52.573%
692,距離,390,0.02072%,52.594%
693,ページ,389,0.02066%,52.615%
694,相手,389,0.02066%,52.635%
695,文,388,0.02061%,52.656%
696,回表,388,0.02061%,52.676%
697,共通,388,0.02061%,52.697%
698,十,388,0.02061%,52.718%
699,違い,387,0.02056%,52.738%
700,途中,387,0.02056%,52.759%
701,番,387,0.02056%,52.779%
702,世代,386,0.02050%,52.800%
703,プログラミング,386,0.02050%,52.820%
704,カップ,385,0.02045%,52.841%
705,写真,385,0.02045%,52.861%
706,各種,384,0.02040%,52.882%
707,自由,384,0.02040%,52.902%
708,条件,384,0.02040%,52.922%
709,図る,383,0.02034%,52.943%
710,男子,383,0.02034%,52.963%
711,下,383,0.02034%,52.983%
712,上げる,383,0.02034%,53.004%
713,関数,383,0.02034%,53.024%
714,前後,382,0.02029%,53.044%
715,ニューヨーク,382,0.02029%,53.065%
716,行なう,381,0.02024%,53.085%
717,商品,380,0.02018%,53.105%
718,認める,380,0.02018%,53.125%
719,年後,379,0.02013%,53.145%
720,指名,378,0.02008%,53.166%
721,ちる,378,0.02008%,53.186%
722,メール,377,0.02003%,53.206%
723,事故,377,0.02003%,53.226%
724,率いる,376,0.01997%,53.246%
725,通称,376,0.01997%,53.266%
726,作業,376,0.01997%,53.286%
727,経済,375,0.01992%,53.305%
728,自衛隊,374,0.01987%,53.325%
729,年始,374,0.01987%,53.345%
730,自ら,372,0.01976%,53.365%
731,目指す,372,0.01976%,53.385%
732,色,372,0.01976%,53.404%
733,直後,371,0.01971%,53.424%
734,部門,371,0.01971%,53.444%
735,アドレス,370,0.01965%,53.464%
736,空,369,0.01960%,53.483%
737,グランプリ,369,0.01960%,53.503%
738,オーストラリア,369,0.01960%,53.522%
739,言葉,368,0.01955%,53.542%
740,互換性,368,0.01955%,53.561%
741,愛称,368,0.01955%,53.581%
742,発射,368,0.01955%,53.601%
743,イン,367,0.01949%,53.620%
744,学校,366,0.01944%,53.639%
745,更新,365,0.01939%,53.659%
